type,name,pos,height
비행 제한 구역,R134,"373840N 1244500E-
374200N 1244500E-
374200N 1245600E-
373730N 1250130E-
373400N 1251445E-
374000N 1253200E-
374100N 1253930E-
373720N 1253900E-
373045N 1252400E-
372600N 1252400E-
372600N 1250400E-
373215N 1244800E-
373840N 1244500E",GND-5000
비행 제한 구역,R135,"380930N 1290400E-
380600N 1285745E-
373700N 1293020E-
373330N 1292415E-
380930N 1290400E",GND-500
비행 제한 구역,R136,"372500N 1293045E-
372810N 1293700E-
370630N 1294710E-
370430N 1294000E-
372500N 1293045E",GND-500
비행 제한 구역,R137,"373827N 1255527E-
373823N 1260021E-
373623N 1260019E-
373622N 1255524E-
373827N 1255527E",GND-5000
비행 제한 구역,R138,362011N 1263153E,GND-4400
비행 제한 구역,R139,365026N 1272425E,GND-5400
비행 제한 구역,R140,380900N 1285100E,GND-300
비행 제한 구역,R141,"374005N 1311200E-
374005N 1312500E-
373005N 1312500E-
373005N 1311200E-
374005N 1311200E",GND-300
비행 제한 구역,R142A,370800N 1293400E,GND-300
비행 제한 구역,R142B,362000N 1295000E,GND-300
비행 제한 구역,R142C,360500N 1294500E,GND-300
비행 제한 구역,R143,"350710N 1291700E-
350425N 1292040E-
345820N 1291410E-
350110N 1291025E-
350710N 1291700E",GND-300
비행 제한 구역,R144,343900N 1282600E,GND-300
비행 제한 구역,R145,342956N 1280452E,GND-300
비행 제한 구역,R146,340411N 1265153E,GND-300
비행 제한 구역,R147,324000N 1262000E,GND-300
비행 제한 구역,R148A,344534N 1261324E,GND-300
비행 제한 구역,R148B,342511N 1255453E,GND-300
비행 제한 구역,R149,334445N 1261300E,GND-300
비행 제한 구역,R150,"330830N 1262200E-
330830N 1262900E-
325830N 1262900E-
325830N 1262200E-
330830N 1262200E",GND-300
비행 제한 구역,R151A,"355000N 1261850E-
355000N 1262000E-
354500N 1262000E-
354500N 1261500E-
355000N 1261850E",GND-100
ALERT 구역,A2,"365118N 1265223E -
365117N 1270800E -
364501N 1270757E -
364447N 1265407E -
365118N 1265223E",GND-5000MSL
ALERT 구역,A19,"370300N 1274700E-
370800N 1275300E-
370300N 1274700E-
365900N 1275300E-
370300N 1274700E",GND-FL150
ALERT 구역,A19T,"370800N 1273800E-
370800N 1275300E-
370300N 1274700E-
365900N 1275300E-
365600N 1275300E-
365600N 1273800E-
370800N 1273800E","800 AGL-
2000 AGL"
ALERT 구역,A20T,"370000N 1263000E-
363000N 1265100E-
362400N 1263000E-
364330N 1261000E-
370000N 1263000E","700 AGL-
2000 AGL"
ALERT 구역,A810,373207N 1271049E,GND-1000 AGL
ALERT 구역,A811,372835N 1264450E,GND-1000 AGL
비행 위험 구역,D1,351900N 1291800E,GND-10000
비행 위험 구역,D2,354200N 1292800E,GND-10000
비행 위험 구역,D5,354250N 1271245E,GND-3000
비행 위험 구역,D6,360908N 1274353E,GND-3000
비행 위험 구역,D7,352429N 1262429E,GND-10000
비행 위험 구역,D8,370600N 1292300E,GND-8000
비행 위험 구역,D9,355739N 1285836E,GND-3000
비행 위험 구역,D13,365535N 1270943E,GND-3000
비행 위험 구역,D14,370605N 1281449E,GND-3000
비행 위험 구역,D15,363931N 1270954E,GND-3000
비행 위험 구역,D16,362516E 1272638E,GND-2000
비행 위험 구역,D17,353947N 1271515E,GND-3000
비행 위험 구역,D18,360415N 1274226E,GND-3000
비행 위험 구역,D19,365828N 1274446E,GND-1000
비행 위험 구역,D20,373208N 1270547E,GND-1600
비행 위험 구역,D21,373215N 1270422E,GND-1700
비행 위험 구역,D22,"373121N 1270333E -
373107N 1270354E -
373044N 1270359E -
373004N 1270318E -
373020N 1270258E -
373052N 1270329E -
373104N 1270314E -
373121N 1270333E",GND-1800
비행 위험 구역,D23,"372924N 1270317E -
372918N 1270321E -
372909N 1270306E -
372917N 1270301E -
372924N 1270317E",GND-1900
비행 위험 구역,D24,"373019N 1270215E -
373002N 1270236E -
372937N 1270134E -
372954N 1270127E -
373019N 1270215E",GND-1700
비행 위험 구역,D25,372900N 1270100E,GND-1500
비행 위험 구역,D26,372928N 1265528E,GND-1600
비행 위험 구역,D27,"373143N 1265547E -
373111N 1265629E -
373103N 1265623E -
373108N 1265515E -
373118N 1265502E -
373143N 1265547E",GND-1900
비행 위험 구역,D28,373029N 1265327E,GND-1700
비행 위험 구역,D29,"373118N 1265403E -
373102N 1265422E -
373054N 1265411E -
373110N 1265351E -
373118N 1265403E",GND-1600
비행 위험 구역,D30,373138N 1265228E,GND-1900
비행 위험 구역,D31,351230N 1285958E,GND-1600
비행 위험 구역,D32,"351339N 1290459E -
351325N 1290533E -
351236N 1290506E -
351252N 1290427E -
351339N 1290459E",GND-1600
비행 위험 구역,D33,351029N 1290501E,GND-1500
비행 위험 구역,D34,350825N 1290624E,GND-1600
비행 위험 구역,D35,"350926N 1290254E -
350950N 1290329E -
350849N 1290426E -
350825N 1290351E -
350926N 1290254E",GND-2000
비행 위험 구역,D36,"351043N 1290638E -
351112N 1290715E -
350932N 1290943E -
350849N 1290842E -
351043N 1290638E",GND-2000
비행 위험 구역,D37,"351015N 1291058E -
350936N 1291014E -
350913N 1291045E -
350952N 1291128E -
351015N 1291058E",GND-1600
군작전 공역,MOA 1,"363500N 1254200E-364400N 1261000E-
364400N 1262900E-362000N 1262500E-
362000N 1254200E-363500N 1254200E","10,000ft MSL-FL400"
군작전 공역,MOA 2H,"363500N 1270700E-363500N 1272200E-
355800N 1272200E-355900N 1270400E-
363500N 1270700E","10,000ft MSL-FL400"
군작전 공역,MOA 2L,"363500N 1270700E-363500N 1272200E-
355800N 1272200E-355900N 1270400E-
363500N 1270700E","3,000ft AGL-8,000ft MSL"
군작전 공역,MOA 3A,"363400N 1273200E-363500N 1274300E-
362300N 1275700E-361800N 1275100E-
362700N 1273700E-363400N 1273200E","3,000ft AGL-7,000ft MSL"
군작전 공역,MOA 3L,"361600N 1272200E-362200N 1274300E-
355600N 1281500E-355800N 1272200E-361600N 1272200E","3,000ft AGL-9,000ft MSL"
군작전 공역,MOA 3H,"363500N 1272200E-362200N 1274300E-
355600N 1281500E-355800N 1272200E-
363500N 1272200E","10,000ft MSL-FL400"
